summary data,Total
Science No. of publications,2680
Science No. sharing data overall,1846
Science % sharing data overall,69%
Science No. sharing data in a repository,1488
Science %. sharing data in a repository,56%
PLOS No. of publications,138995
PLOS No. sharing data overall,102866
PLOS % sharing data overall,74%
PLOS No. sharing data in a repository,36007
PLOS %. sharing data in a repository,26%
T&F No. of publications,8231
T&F No. sharing data overall,2016
T&F % sharing data overall,24%
T&F No. sharing data in a repository,897
T&F %. sharing data in a repository,11%
Science No. generating code,1442
Science No. sharing generated code,594
Science % sharing generated code,41%
PLOS No. generating code,52040
PLOS No. sharing generated code,15154
PLOS % sharing generated code,29%
T&F No. generating code,1941
T&F No. sharing generated code,156
T&F % sharing generated code,8%
